IR_Raw,RED_Raw,HR_BPM,SpO2_%,RR_BPM,PI_%,Condition
2048,2048,75.0,98.0,16.0,3.00,Normal
1318,956,75.0,98.0,16.0,3.00,Normal
1915,1246,75.0,98.0,16.0,3.00,Normal
2630,1592,75.0,98.0,16.0,3.00,Normal
3170,1854,75.0,98.0,16.0,3.00,Normal
3331,1934,75.0,98.0,16.0,3.00,Normal
3013,1784,75.0,98.0,16.0,3.00,Normal
2307,1448,75.0,98.0,16.0,3.00,Normal
1628,1125,75.0,98.0,16.0,3.00,Normal
1413,1024,75.0,98.0,16.0,3.00,Normal
1469,1054,75.0,98.0,16.0,3.00,Normal
1474,1059,75.0,98.0,16.0,3.00,Normal
1391,1022,75.0,98.0,16.0,3.00,Normal
1266,964,75.0,98.0,16.0,3.00,Normal
1124,898,75.0,98.0,16.0,3.00,Normal
995,838,75.0,98.0,16.0,3.00,Normal
886,788,75.0,98.0,16.0,3.00,Normal
811,754,75.0,98.0,16.0,3.00,Normal
764,734,75.0,98.0,16.0,3.00,Normal
736,722,75.0,98.0,16.0,3.00,Normal
724,718,75.0,98.0,16.0,3.00,Normal
720,717,75.0,98.0,16.0,3.00,Normal
720,718,75.0,98.0,16.0,3.00,Normal
721,720,75.0,98.0,16.0,3.00,Normal
723,723,75.0,98.0,16.0,3.00,Normal
724,724,75.0,98.0,16.0,3.00,Normal
726,726,75.0,98.0,16.0,3.00,Normal
728,728,75.0,98.0,16.0,3.00,Normal
729,729,75.0,98.0,16.0,3.00,Normal
1551,1123,75.0,98.0,16.0,3.00,Normal
2238,1454,75.0,98.0,16.0,3.00,Normal
3015,1827,75.0,98.0,16.0,3.00,Normal
3662,2138,75.0,98.0,16.0,3.00,Normal
3924,2264,75.0,98.0,16.0,3.00,Normal
3679,2146,75.0,98.0,16.0,3.00,Normal
2979,1810,75.0,98.0,16.0,3.00,Normal
2123,1398,75.0,98.0,16.0,3.00,Normal
1629,1160,75.0,98.0,16.0,3.00,Normal
1582,1137,75.0,98.0,16.0,3.00,Normal
1627,1157,75.0,98.0,16.0,3.00,Normal
1572,1130,75.0,98.0,16.0,3.00,Normal
1446,1068,75.0,98.0,16.0,3.00,Normal
1297,995,75.0,98.0,16.0,3.00,Normal
1145,921,75.0,98.0,16.0,3.00,Normal
1004,852,75.0,98.0,16.0,3.00,Normal
898,799,75.0,98.0,16.0,3.00,Normal
814,757,75.0,98.0,16.0,3.00,Normal
760,730,75.0,98.0,16.0,3.00,Normal
726,711,75.0,98.0,16.0,3.00,Normal
706,700,75.0,98.0,16.0,3.00,Normal
695,692,75.0,98.0,16.0,3.00,Normal
687,686,75.0,98.0,16.0,3.00,Normal
681,681,75.0,98.0,16.0,3.00,Normal
675,675,75.0,98.0,16.0,3.00,Normal
671,671,75.0,98.0,16.0,3.00,Normal
666,666,75.0,98.0,16.0,3.00,Normal
660,660,75.0,98.0,16.0,3.00,Normal
656,656,75.0,98.0,16.0,3.00,Normal
1085,859,75.0,98.0,16.0,3.00,Normal
1706,1154,75.0,98.0,16.0,3.00,Normal
2408,1489,75.0,98.0,16.0,3.00,Normal
3122,1828,75.0,98.0,16.0,3.00,Normal
3529,2021,75.0,98.0,16.0,3.00,Normal
3480,1995,75.0,98.0,16.0,3.00,Normal
2968,1746,75.0,98.0,16.0,3.00,Normal
2185,1368,75.0,98.0,16.0,3.00,Normal
1537,1054,75.0,98.0,16.0,3.00,Normal
1339,956,75.0,98.0,16.0,3.00,Normal
1375,971,75.0,98.0,16.0,3.00,Normal
1343,952,75.0,98.0,16.0,3.00,Normal
1235,898,75.0,98.0,16.0,3.00,Normal
1102,831,75.0,98.0,16.0,3.00,Normal
959,760,75.0,98.0,16.0,3.00,Normal
833,697,75.0,98.0,16.0,3.00,Normal
732,646,75.0,98.0,16.0,3.00,Normal
656,607,75.0,98.0,16.0,3.00,Normal
607,581,75.0,98.0,16.0,3.00,Normal
578,565,75.0,98.0,16.0,3.00,Normal
560,554,75.0,98.0,16.0,3.00,Normal
550,547,75.0,98.0,16.0,3.00,Normal
543,542,75.0,98.0,16.0,3.00,Normal
539,538,75.0,98.0,16.0,3.00,Normal
535,534,75.0,98.0,16.0,3.00,Normal
531,531,75.0,98.0,16.0,3.00,Normal
528,528,75.0,98.0,16.0,3.00,Normal
525,525,75.0,98.0,16.0,3.00,Normal
523,523,75.0,98.0,16.0,3.00,Normal
854,681,75.0,98.0,16.0,3.00,Normal
1330,908,75.0,98.0,16.0,3.00,Normal
1892,1177,75.0,98.0,16.0,3.00,Normal
2390,1415,75.0,98.0,16.0,3.00,Normal
2586,1508,75.0,98.0,16.0,3.00,Normal
2386,1412,75.0,98.0,16.0,3.00,Normal
1890,1174,75.0,98.0,16.0,3.00,Normal
1304,892,75.0,98.0,16.0,3.00,Normal
1058,774,75.0,98.0,16.0,3.00,Normal
1077,783,75.0,98.0,16.0,3.00,Normal
1079,784,75.0,98.0,16.0,3.00,Normal
1011,752,75.0,98.0,16.0,3.00,Normal
910,704,75.0,98.0,16.0,3.00,Normal
806,654,75.0,98.0,16.0,3.00,Normal
712,610,75.0,98.0,16.0,3.00,Normal
635,575,75.0,98.0,16.0,3.00,Normal
584,551,75.0,98.0,16.0,3.00,Normal
554,537,75.0,98.0,16.0,3.00,Normal
538,531,75.0,98.0,16.0,3.00,Normal
533,530,75.0,98.0,16.0,3.00,Normal
532,531,75.0,98.0,16.0,3.00,Normal
533,533,75.0,98.0,16.0,3.00,Normal
536,536,75.0,98.0,16.0,3.00,Normal
539,539,75.0,98.0,16.0,3.00,Normal
543,543,75.0,98.0,16.0,3.00,Normal
546,546,75.0,98.0,16.0,3.00,Normal
550,550,75.0,98.0,16.0,3.00,Normal
1000,769,75.0,98.0,16.0,3.00,Normal
1464,993,75.0,98.0,16.0,3.00,Normal
2049,1276,75.0,98.0,16.0,3.00,Normal
2545,1517,75.0,98.0,16.0,3.00,Normal
2712,1600,75.0,98.0,16.0,3.00,Normal
2466,1484,75.0,98.0,16.0,3.00,Normal
1874,1203,75.0,98.0,16.0,3.00,Normal
1332,944,75.0,98.0,16.0,3.00,Normal
1185,877,75.0,98.0,16.0,3.00,Normal
1241,907,75.0,98.0,16.0,3.00,Normal
1226,901,75.0,98.0,16.0,3.00,Normal
1143,864,75.0,98.0,16.0,3.00,Normal
1032,814,75.0,98.0,16.0,3.00,Normal
918,762,75.0,98.0,16.0,3.00,Normal
812,714,75.0,98.0,16.0,3.00,Normal
738,681,75.0,98.0,16.0,3.00,Normal
690,660,75.0,98.0,16.0,3.00,Normal
666,652,75.0,98.0,16.0,3.00,Normal
655,649,75.0,98.0,16.0,3.00,Normal
653,650,75.0,98.0,16.0,3.00,Normal
654,653,75.0,98.0,16.0,3.00,Normal
658,657,75.0,98.0,16.0,3.00,Normal
662,662,75.0,98.0,16.0,3.00,Normal
666,666,75.0,98.0,16.0,3.00,Normal
671,671,75.0,98.0,16.0,3.00,Normal
676,676,75.0,98.0,16.0,3.00,Normal
680,680,75.0,98.0,16.0,3.00,Normal
1631,1138,75.0,98.0,16.0,3.00,Normal
2330,1476,75.0,98.0,16.0,3.00,Normal
3065,1830,75.0,98.0,16.0,3.00,Normal
3587,2083,75.0,98.0,16.0,3.00,Normal
3619,2100,75.0,98.0,16.0,3.00,Normal
3151,1877,75.0,98.0,16.0,3.00,Normal
2366,1502,75.0,98.0,16.0,3.00,Normal
1705,1186,75.0,98.0,16.0,3.00,Normal
1522,1099,75.0,98.0,16.0,3.00,Normal
1586,1131,75.0,98.0,16.0,3.00,Normal
1573,1125,75.0,98.0,16.0,3.00,Normal
1470,1078,75.0,98.0,16.0,3.00,Normal
1330,1011,75.0,98.0,16.0,3.00,Normal
1180,940,75.0,98.0,16.0,3.00,Normal
1039,872,75.0,98.0,16.0,3.00,Normal
924,818,75.0,98.0,16.0,3.00,Normal
835,775,75.0,98.0,16.0,3.00,Normal
782,750,75.0,98.0,16.0,3.00,Normal
750,734,75.0,98.0,16.0,3.00,Normal
734,726,75.0,98.0,16.0,3.00,Normal
726,722,75.0,98.0,16.0,3.00,Normal
721,720,75.0,98.0,16.0,3.00,Normal
719,719,75.0,98.0,16.0,3.00,Normal
718,718,75.0,98.0,16.0,3.00,Normal
716,716,75.0,98.0,16.0,3.00,Normal
714,714,75.0,98.0,16.0,3.00,Normal
712,712,75.0,98.0,16.0,3.00,Normal
710,710,75.0,98.0,16.0,3.00,Normal
1485,1081,75.0,98.0,16.0,3.00,Normal
2136,1392,75.0,98.0,16.0,3.00,Normal
2943,1778,75.0,98.0,16.0,3.00,Normal
3714,2146,75.0,98.0,16.0,3.00,Normal
4095,2340,75.0,98.0,16.0,3.00,Normal
4062,2311,75.0,98.0,16.0,3.00,Normal
3517,2048,75.0,98.0,16.0,3.00,Normal
2623,1616,75.0,98.0,16.0,3.00,Normal
1864,1250,75.0,98.0,16.0,3.00,Normal
1579,1112,75.0,98.0,16.0,3.00,Normal
1617,1127,75.0,98.0,16.0,3.00,Normal
1615,1124,75.0,98.0,16.0,3.00,Normal
1512,1072,75.0,98.0,16.0,3.00,Normal
1367,1000,75.0,98.0,16.0,3.00,Normal
1208,922,75.0,98.0,16.0,3.00,Normal
1054,846,75.0,98.0,16.0,3.00,Normal
920,779,75.0,98.0,16.0,3.00,Normal
814,726,75.0,98.0,16.0,3.00,Normal
739,688,75.0,98.0,16.0,3.00,Normal
688,660,75.0,98.0,16.0,3.00,Normal
656,643,75.0,98.0,16.0,3.00,Normal
639,632,75.0,98.0,16.0,3.00,Normal
626,624,75.0,98.0,16.0,3.00,Normal
618,617,75.0,98.0,16.0,3.00,Normal
613,612,75.0,98.0,16.0,3.00,Normal
607,607,75.0,98.0,16.0,3.00,Normal
603,603,75.0,98.0,16.0,3.00,Normal
598,598,75.0,98.0,16.0,3.00,Normal
593,593,75.0,98.0,16.0,3.00,Normal
589,589,75.0,98.0,16.0,3.00,Normal
585,585,75.0,98.0,16.0,3.00,Normal
1389,968,75.0,98.0,16.0,3.00,Normal
1960,1240,75.0,98.0,16.0,3.00,Normal
2606,1548,75.0,98.0,16.0,3.00,Normal
3081,1774,75.0,98.0,16.0,3.00,Normal
3183,1822,75.0,98.0,16.0,3.00,Normal
2849,1659,75.0,98.0,16.0,3.00,Normal
2207,1349,75.0,98.0,16.0,3.00,Normal
1522,1019,75.0,98.0,16.0,3.00,Normal
1222,873,75.0,98.0,16.0,3.00,Normal
1231,876,75.0,98.0,16.0,3.00,Normal
1236,877,75.0,98.0,16.0,3.00,Normal
1161,839,75.0,98.0,16.0,3.00,Normal
1050,785,75.0,98.0,16.0,3.00,Normal
929,726,75.0,98.0,16.0,3.00,Normal
814,670,75.0,98.0,16.0,3.00,Normal
714,620,75.0,98.0,16.0,3.00,Normal
641,585,75.0,98.0,16.0,3.00,Normal
591,560,75.0,98.0,16.0,3.00,Normal
561,545,75.0,98.0,16.0,3.00,Normal
544,537,75.0,98.0,16.0,3.00,Normal
535,532,75.0,98.0,16.0,3.00,Normal
531,530,75.0,98.0,16.0,3.00,Normal
530,529,75.0,98.0,16.0,3.00,Normal
529,529,75.0,98.0,16.0,3.00,Normal
529,529,75.0,98.0,16.0,3.00,Normal
529,529,75.0,98.0,16.0,3.00,Normal
530,530,75.0,98.0,16.0,3.00,Normal
531,531,75.0,98.0,16.0,3.00,Normal
