IR_Raw,RED_Raw,HR_BPM,SpO2_%,RR_BPM,PI_%,Condition
-57,-57,75.0,98.0,16.0,3.00,Normal
-60,-60,75.0,98.0,16.0,3.00,Normal
-64,-64,75.0,98.0,16.0,3.00,Normal
-67,-67,75.0,98.0,16.0,3.00,Normal
-70,-70,75.0,98.0,16.0,3.00,Normal
-72,-72,75.0,98.0,16.0,3.00,Normal
473,188,75.0,98.0,16.0,3.00,Normal
813,349,75.0,98.0,16.0,3.00,Normal
1012,444,75.0,98.0,16.0,3.00,Normal
1433,645,75.0,98.0,16.0,3.00,Normal
1815,827,75.0,98.0,16.0,3.00,Normal
2066,946,75.0,98.0,16.0,3.00,Normal
2123,973,75.0,98.0,16.0,3.00,Normal
1970,898,75.0,98.0,16.0,3.00,Normal
1634,736,75.0,98.0,16.0,3.00,Normal
1183,518,75.0,98.0,16.0,3.00,Normal
756,312,75.0,98.0,16.0,3.00,Normal
509,193,75.0,98.0,16.0,3.00,Normal
463,170,75.0,98.0,16.0,3.00,Normal
492,183,75.0,98.0,16.0,3.00,Normal
494,184,75.0,98.0,16.0,3.00,Normal
454,164,75.0,98.0,16.0,3.00,Normal
389,132,75.0,98.0,16.0,3.00,Normal
314,96,75.0,98.0,16.0,3.00,Normal
236,58,75.0,98.0,16.0,3.00,Normal
159,21,75.0,98.0,16.0,3.00,Normal
123,3,75.0,98.0,16.0,3.00,Normal
60,-26,75.0,98.0,16.0,3.00,Normal
8,-51,75.0,98.0,16.0,3.00,Normal
-30,-70,75.0,98.0,16.0,3.00,Normal
-59,-84,75.0,98.0,16.0,3.00,Normal
-78,-93,75.0,98.0,16.0,3.00,Normal
-90,-99,75.0,98.0,16.0,3.00,Normal
-97,-102,75.0,98.0,16.0,3.00,Normal
-101,-104,75.0,98.0,16.0,3.00,Normal
-103,-104,75.0,98.0,16.0,3.00,Normal
-103,-104,75.0,98.0,16.0,3.00,Normal
-103,-103,75.0,98.0,16.0,3.00,Normal
-102,-103,75.0,98.0,16.0,3.00,Normal
-101,-102,75.0,98.0,16.0,3.00,Normal
-100,-100,75.0,98.0,16.0,3.00,Normal
-99,-99,75.0,98.0,16.0,3.00,Normal
-97,-97,75.0,98.0,16.0,3.00,Normal
-97,-97,75.0,98.0,16.0,3.00,Normal
-95,-95,75.0,98.0,16.0,3.00,Normal
-93,-93,75.0,98.0,16.0,3.00,Normal
407,147,75.0,98.0,16.0,3.00,Normal
723,300,75.0,98.0,16.0,3.00,Normal
1103,484,75.0,98.0,16.0,3.00,Normal
1484,668,75.0,98.0,16.0,3.00,Normal
1779,810,75.0,98.0,16.0,3.00,Normal
1914,877,75.0,98.0,16.0,3.00,Normal
1855,850,75.0,98.0,16.0,3.00,Normal
1609,733,75.0,98.0,16.0,3.00,Normal
1223,549,75.0,98.0,16.0,3.00,Normal
814,354,75.0,98.0,16.0,3.00,Normal
545,226,75.0,98.0,16.0,3.00,Normal
480,197,75.0,98.0,16.0,3.00,Normal
517,216,75.0,98.0,16.0,3.00,Normal
538,228,75.0,98.0,16.0,3.00,Normal
513,218,75.0,98.0,16.0,3.00,Normal
460,194,75.0,98.0,16.0,3.00,Normal
428,179,75.0,98.0,16.0,3.00,Normal
356,146,75.0,98.0,16.0,3.00,Normal
281,112,75.0,98.0,16.0,3.00,Normal
209,79,75.0,98.0,16.0,3.00,Normal
146,51,75.0,98.0,16.0,3.00,Normal
94,28,75.0,98.0,16.0,3.00,Normal
55,11,75.0,98.0,16.0,3.00,Normal
27,0,75.0,98.0,16.0,3.00,Normal
9,-6,75.0,98.0,16.0,3.00,Normal
0,-9,75.0,98.0,16.0,3.00,Normal
-5,-10,75.0,98.0,16.0,3.00,Normal
-6,-8,75.0,98.0,16.0,3.00,Normal
-5,-6,75.0,98.0,16.0,3.00,Normal
-2,-3,75.0,98.0,16.0,3.00,Normal
0,0,75.0,98.0,16.0,3.00,Normal
3,3,75.0,98.0,16.0,3.00,Normal
6,6,75.0,98.0,16.0,3.00,Normal
10,10,75.0,98.0,16.0,3.00,Normal
13,13,75.0,98.0,16.0,3.00,Normal
17,17,75.0,98.0,16.0,3.00,Normal
21,21,75.0,98.0,16.0,3.00,Normal
24,24,75.0,98.0,16.0,3.00,Normal
609,307,75.0,98.0,16.0,3.00,Normal
992,492,75.0,98.0,16.0,3.00,Normal
1473,725,75.0,98.0,16.0,3.00,Normal
1989,974,75.0,98.0,16.0,3.00,Normal
2230,1091,75.0,98.0,16.0,3.00,Normal
2614,1277,75.0,98.0,16.0,3.00,Normal
2794,1365,75.0,98.0,16.0,3.00,Normal
2726,1334,75.0,98.0,16.0,3.00,Normal
2418,1188,75.0,98.0,16.0,3.00,Normal
1922,951,75.0,98.0,16.0,3.00,Normal
1370,688,75.0,98.0,16.0,3.00,Normal
965,495,75.0,98.0,16.0,3.00,Normal
824,429,75.0,98.0,16.0,3.00,Normal
856,445,75.0,98.0,16.0,3.00,Normal
899,467,75.0,98.0,16.0,3.00,Normal
861,451,134.7,98.0,16.0,3.00,Normal
715,382,134.7,98.0,16.0,3.00,Normal
534,296,134.7,98.0,16.0,3.00,Normal
364,216,134.7,98.0,16.0,3.00,Normal
235,155,133.3,98.0,16.0,3.00,Normal
158,119,128.0,98.0,16.0,3.00,Normal
119,101,113.3,98.0,16.0,3.00,Normal
102,94,105.3,98.0,16.0,3.00,Normal
96,92,86.7,98.0,16.0,3.00,Normal
94,92,78.7,98.0,16.0,3.00,Normal
93,92,73.3,98.0,16.0,3.00,Normal
94,93,72.0,98.0,16.0,3.00,Normal
95,94,69.3,98.0,16.0,3.00,Normal
95,95,68.0,98.0,16.0,3.00,Normal
96,96,64.0,98.0,16.0,3.00,Normal
97,97,61.3,98.0,16.0,3.00,Normal
98,98,61.3,98.0,16.0,3.00,Normal
99,99,61.3,98.0,16.0,3.00,Normal
99,99,61.3,98.0,16.0,3.00,Normal
100,100,57.3,98.0,16.0,3.00,Normal
100,100,53.3,98.0,16.0,3.00,Normal
100,100,50.7,98.0,16.0,3.00,Normal
802,437,49.3,98.0,16.0,3.00,Normal
1086,574,46.7,98.0,16.0,3.00,Normal
1414,731,46.7,98.0,16.0,3.00,Normal
1787,910,46.7,98.0,16.0,3.00,Normal
2187,1102,46.7,98.0,16.0,3.00,Normal
2588,1294,46.7,98.0,16.0,3.00,Normal
2960,1472,46.7,98.0,16.0,3.00,Normal
3269,1620,46.7,98.0,16.0,3.00,Normal
3489,1725,46.7,98.0,16.0,3.00,Normal
3598,1777,46.7,98.0,16.0,3.00,Normal
3587,1771,46.7,98.0,16.0,3.00,Normal
3456,1708,46.7,98.0,16.0,3.00,Normal
3212,1590,46.7,98.0,16.0,3.00,Normal
