Reference,Value,Footprint,Fit
J1,MCP4725 IR 0x60,TX:Socket6,YES
J3,MCP4725 RED 0x61,TX:Socket6,YES
J2,PI I2C INPUT / IR OUT,TX:Header6,YES
U1,LM358P / DIP8 socket,TX:DIP8,YES
Q1,2N4401 / E-B-C,TX:NPN,YES
R1,10k 1%,TX:R,YES
R2,10k 1%,TX:R,YES
R3,1k,TX:R,YES
R4,82R 1% 0.25W,TX:R,YES
C2,DNP loop comp,TX:C,DNP
J5,IR LED A / K,TX:Header2,YES
Q2,2N4401 / E-B-C,TX:NPN,YES
R6,10k 1%,TX:R,YES
R7,10k 1%,TX:R,YES
R8,1k,TX:R,YES
R9,100R 1% 0.25W,TX:R,YES
C4,DNP loop comp,TX:C,DNP
J6,RED LED A / K,TX:Header2,YES
J7,5V INPUT / GND,TX:Header2,YES
C5,100nF X7R 50V,TX:C,YES
C7,10uF 16V,TX:CP,YES
H1,M3 / 3.2mm,TX:Hole,YES
H2,M3 / 3.2mm,TX:Hole,YES
H3,M3 / 3.2mm,TX:Hole,YES
H4,M3 / 3.2mm,TX:Hole,YES
